section,analysis,term,beta,ci_low,ci_high,p,suspicion_timing,count,mean,std,group_2lvl,n,cue_count_mean,has_detection_cue_rate,cue_ai_attribution_rate,cue_human_attribution_rate,cue_early_suspicion_rate,cue_mid_suspicion_rate,cue_late_suspicion_rate,cue_any_selection_rate,cue_explicit_ai_rate,cue_other_text_present_rate,cue_other_style_rate,cue_other_speed_rate,condition,correct_attribution,belief_change,cue_ai_attribution,cue_human_attribution,cue_early_suspicion,cue_mid_suspicion,cue_late_suspicion,cue_any_selection,cue_explicit_ai,cue_other_text_present,cue_other_style,cue_other_speed,cue_count,has_detection_cue,variable,metric_type,sd,median,level,condition_total,prop,group,has_direct_ack,has_pushback,has_specificity,high_engagement_rate,debate_id,round,acknowledgement_text,engagement_depth,argument_quality_mean,arg_length_words_mean,has_claim_rate,has_evidence_rate,has_counter_engagement_rate,has_specificity_rate,argument_preview,argument_quality,arg_length_words,has_claim,has_evidence,has_counter_engagement,n_rated,spearman_rho,spearman_p,icc_human_21,icc_human_2k,icc_all_21,icc_all_2k,correlation_pushback_conf,p_value,status,full_population_prop,qual_sample_prop,n_qual,prop_diff,stat,n_non_missing,metric,value
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,-45.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,0.0,-15.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,41.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,0.0,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,25.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-81.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-47.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-25.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-53.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,0.0,42.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,14.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-8.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,42.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-25.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,25.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-50.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,18.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,85.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,-50.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,26.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,firm,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,0.0,-5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,0.0,-27.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,29.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,33.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-41.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,38.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,35.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-25.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-25.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-20.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,balanced,1.0,-20.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,21.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,-3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,36.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,-25.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,-25.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,40.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,0.0,-12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,ai,,,,,,,,,,,,,,open-minded,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
